GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born,state,county,county_name
06001437701,3745.0,29.4,59.6,11.7,9.9,303.0,49.7,19.2,310700.0,4.0,6.8,76.5,2.1,3.51,1304.0,58197.0,30.5,64.3,11.9,15.7,93.8,11.5,35.5,38.6,06,001,Alameda
06001437102,4586.0,36.6,34.2,10.1,8.5,1813.0,45.8,28.0,384400.0,4.8,2.0,52.1,0.0,2.93,1530.0,72168.0,27.0,78.1,10.4,45.5,91.2,22.0,32.9,48.8,06,001,Alameda
06001437101,7186.0,40.2,20.6,13.9,5.9,3623.0,49.4,76.1,582400.0,5.9,0.4,16.8,6.9,3.93,2031.0,109435.0,31.4,75.6,3.1,34.5,90.0,40.0,46.1,42.3,06,001,Alameda
06001450752,5854.0,38.4,8.0,22.7,4.3,3514.0,51.2,80.5,1008600.0,7.8,0.6,14.0,10.2,3.19,2871.0,195250.0,46.5,60.1,1.4,15.9,94.5,65.7,44.2,44.5,06,001,Alameda
06001450751,8963.0,36.7,4.8,22.4,1.2,6020.0,48.7,77.4,922500.0,6.6,0.5,11.8,0.0,2.87,2768.0,194417.0,46.5,59.3,2.7,10.9,78.8,78.4,35.8,50.1,06,001,Alameda
06001450750,4844.0,36.5,13.6,36.1,4.1,1959.0,48.0,5.9,533400.0,4.2,0.0,55.3,0.0,2.22,2132.0,107306.0,39.8,73.6,6.0,26.7,69.4,65.2,51.1,40.6,06,001,Alameda
06001450744,5930.0,42.5,10.5,57.1,1.7,1651.0,45.9,72.7,838000.0,6.7,2.2,33.6,6.6,3.21,2162.0,137566.0,37.2,70.2,2.5,18.7,87.8,57.3,74.3,20.6,06,001,Alameda
06001450502,5564.0,40.3,7.9,55.2,2.4,1534.0,51.3,82.2,899000.0,7.5,1.0,13.4,0.0,2.86,2392.0,158242.0,38.7,67.5,2.0,24.1,85.7,65.5,71.7,20.9,06,001,Alameda
06001450501,3341.0,42.3,8.1,61.7,2.3,787.0,50.6,59.0,637700.0,6.0,0.7,26.5,0.0,2.86,2307.0,126850.0,34.3,71.3,5.2,16.5,84.2,62.0,77.1,21.9,06,001,Alameda
06001444602,4429.0,36.1,10.1,20.1,6.4,2565.0,50.8,26.4,491400.0,4.3,0.6,30.1,10.7,2.96,1926.0,104759.0,31.9,70.6,2.5,32.8,92.5,56.6,41.0,52.0,06,001,Alameda
06001444301,4164.0,35.6,30.3,32.9,5.2,1076.0,53.7,83.2,660000.0,5.9,0.0,28.8,0.0,4.5,2161.0,106103.0,30.8,76.7,8.8,28.7,88.1,34.5,57.9,29.1,06,001,Alameda
06001442302,5988.0,37.7,12.1,20.1,9.4,3213.0,44.9,16.1,618300.0,3.6,1.3,66.9,3.6,2.62,1554.0,80233.0,27.4,73.4,8.2,31.6,88.1,47.5,40.8,48.3,06,001,Alameda
