GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06037106010,3342.0,38.2,73.6,14.8,3.6,145.0,47.0,77.2,460800.0,6.3,2.1,25.1,0.0,3.12,1471 (USD),$73650,31.5,76.2,21.3,23.8,87.9,20.4,42.1,28.1
06037106020,5937.0,37.9,81.1,15.4,1.0,92.0,51.9,95.8,441100.0,6.2,2.9,18.2,0.0,4.22,1924 (USD),$74286,32.6,82.5,11.4,36.9,95.1,15.5,29.0,37.5
06037134720,4645.0,33.6,46.9,23.2,5.0,991.0,49.9,40.2,450600.0,4.2,1.8,55.9,3.0,2.75,1418 (USD),$61372,28.0,73.6,13.0,32.6,87.4,25.0,32.6,42.2
06037137201,6226.0,33.4,19.2,53.6,4.9,1315.0,50.8,34.9,605300.0,4.4,4.0,61.5,0.0,2.87,1763 (USD),$74936,29.3,71.3,7.1,29.9,86.0,51.0,54.5,39.2
06037137502,4627.0,41.9,13.2,67.2,10.8,174.0,47.1,77.0,668400.0,5.4,2.1,34.5,13.6,2.42,2325 (USD),$96964,32.0,84.9,5.7,22.9,80.8,54.9,77.9,20.1
06037137504,1960.0,52.0,3.3,91.6,1.4,39.0,51.4,96.9,1101700.0,8.2,0.8,1.3,64.0,6.67,,$175313,32.1,72.9,2.3,21.1,87.4,58.8,72.3,24.7
06037139702,5985.0,50.1,3.0,86.3,3.3,340.0,48.6,100.0,1247600.0,7.5,1.9,7.4,0.0,3.32,2934 (USD),$187891,31.9,83.4,4.7,9.1,94.1,69.0,58.3,34.2
06037143500,4977.0,41.4,9.4,69.7,11.8,281.0,46.9,37.5,908000.0,4.6,15.6,58.3,2.6,1.98,1795 (USD),$87464,32.2,69.5,10.3,11.1,86.2,64.2,82.6,11.9
06037181400,4511.0,40.6,37.9,24.9,1.3,1518.0,47.5,38.7,643300.0,3.9,38.4,71.3,0.0,2.66,1401 (USD),$55208,27.7,75.9,12.1,34.1,89.3,40.6,48.3,40.6
06037189400,3497.0,42.4,6.7,79.0,3.6,210.0,49.6,66.7,1131200.0,4.9,40.3,41.9,0.0,1.73,1825 (USD),$123500,31.2,70.1,8.3,27.2,89.0,70.4,86.1,13.2
06037185202,4088.0,35.0,60.5,25.9,3.3,399.0,49.2,56.4,659700.0,4.4,41.9,56.4,0.0,2.79,1357 (USD),$62044,31.5,63.5,16.0,40.6,87.5,38.5,45.1,32.7
