GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
06059110110,5885.0,35.9,30.6,32.4,3.0,1676.0,49.8,63.7,471600.0,4.7,4.3,49.9,0.0,2.95,1573.0,73575.0,32.3,77.1,12.2,38.2,87.0,32.8,51.5,34.4
06059110115,3761.0,45.3,14.9,20.7,10.3,1941.0,49.2,84.2,609500.0,6.7,0.7,22.2,0.0,3.81,1771.0,98750.0,29.5,81.7,3.4,37.8,94.7,43.6,58.8,34.3
06059110116,4748.0,42.9,17.6,24.5,5.6,2168.0,49.6,68.9,634800.0,6.1,0.5,33.1,4.3,3.29,1406.0,94199.0,29.7,80.0,8.4,48.9,96.8,50.3,50.3,36.3
06059089001,7696.0,40.8,40.2,4.0,0.0,4273.0,50.8,58.2,358400.0,5.1,0.4,40.2,0.0,5.46,1489.0,53732.0,27.6,77.4,19.2,33.1,90.5,10.8,10.9,62.4
06059075702,3479.0,46.0,15.4,70.8,0.1,380.0,46.3,92.9,724500.0,6.8,0.0,11.4,8.3,1.61,1719.0,98864.0,21.7,83.5,2.1,21.4,92.7,48.7,81.7,12.6
06059086801,3590.0,35.9,40.7,29.3,3.7,846.0,46.6,67.3,458800.0,5.7,1.7,26.8,0.0,3.73,1516.0,64563.0,30.7,79.9,5.3,22.7,77.2,22.7,51.8,28.2
06059087602,7668.0,40.6,57.0,21.9,2.9,1309.0,50.1,42.3,452500.0,4.8,5.1,53.2,0.0,3.57,1207.0,75221.0,27.4,78.5,23.1,31.8,98.2,19.4,33.9,40.4
06059088601,6480.0,42.2,30.2,18.7,1.4,3095.0,48.3,44.6,416100.0,4.2,7.0,47.4,1.2,2.77,1319.0,54330.0,31.2,86.0,12.5,37.2,93.9,23.2,28.0,48.8
06059099238,4356.0,45.8,11.6,67.8,0.0,698.0,52.2,100.0,829200.0,7.5,0.7,11.7,0.0,4.01,2583.0,131750.0,26.8,84.6,6.5,28.6,90.5,53.7,80.6,17.1
06059099310,4525.0,41.9,15.3,73.4,0.0,392.0,55.5,43.1,995600.0,4.6,0.5,59.0,3.6,2.23,1832.0,100917.0,28.3,76.4,7.8,35.0,83.8,52.2,78.3,17.8
06059110106,3689.0,39.7,25.8,36.3,5.8,990.0,45.6,38.9,477300.0,5.9,0.0,21.0,12.5,3.16,1863.0,88710.0,28.3,90.0,3.9,32.3,89.5,44.1,68.9,24.6
06059062628,3776.0,23.1,9.1,45.2,2.0,1460.0,48.2,29.9,1195500.0,5.6,0.0,57.0,6.0,3.13,2412.0,103438.0,22.7,64.3,11.1,65.6,69.3,73.2,51.4,38.8
06059063803,4491.0,39.8,34.0,56.4,0.4,216.0,55.9,48.7,649200.0,5.2,1.4,43.7,4.1,2.68,1689.0,84286.0,25.4,74.2,7.5,32.4,86.5,32.2,68.2,21.8
06059099249,4690.0,27.1,82.4,0.3,0.5,751.0,52.0,39.1,426400.0,4.5,2.9,64.1,0.0,5.79,1377.0,55863.0,24.5,67.1,24.0,20.2,96.4,4.2,7.7,47.2
06059062611,4643.0,28.6,9.9,35.3,6.8,2040.0,52.7,0.8,617700.0,4.0,0.5,80.1,3.1,2.82,2028.0,61042.0,20.2,77.1,34.7,69.6,64.5,67.7,39.4,54.4
06059062627,3731.0,26.3,13.1,33.4,1.9,1787.0,47.2,3.0,525000.0,3.3,0.0,85.1,4.0,2.54,2149.0,44881.0,22.1,66.5,38.3,90.3,71.4,55.1,56.6,34.7
06059052511,6025.0,41.5,6.4,54.7,1.9,1827.0,44.9,51.1,755800.0,5.7,0.0,36.7,2.6,3.01,2231.0,128910.0,25.2,73.9,6.2,27.6,87.6,74.2,55.6,31.6
06059088107,5779.0,41.7,25.1,15.8,0.0,3243.0,51.2,53.6,449500.0,4.7,5.3,54.3,0.0,3.5,1429.0,52374.0,29.2,83.3,17.5,34.5,93.5,23.6,26.8,52.3
06059088401,6091.0,33.0,45.5,19.5,0.9,1983.0,53.5,98.7,476800.0,5.9,0.9,25.4,0.0,5.67,2173.0,86823.0,30.0,77.6,13.3,31.2,82.3,18.4,34.7,40.7
06059088501,6911.0,35.8,54.4,14.6,0.8,1972.0,50.4,50.1,420200.0,4.8,2.2,48.0,0.0,3.96,1262.0,57985.0,24.7,83.4,16.6,30.5,89.0,16.6,24.4,41.7
06059099217,2448.0,43.8,9.1,80.1,1.4,193.0,48.8,78.4,786700.0,6.8,0.0,13.3,0.0,2.78,2632.0,120588.0,24.6,82.5,3.6,36.8,94.4,54.6,88.9,9.0
06059099220,5493.0,42.0,13.5,71.0,2.3,434.0,46.7,30.7,587800.0,5.0,0.0,37.5,4.5,2.24,1960.0,97981.0,28.1,91.0,7.6,37.8,84.7,38.0,89.1,8.5
